lead_id,lead_indicator,date_part,source,customer_group,onboarding,customer_code,Unnamed: 0,purchases,time_spent,n_visits
2,1.0,2024-01-27,signup,5,False,STWPXVNOWA,0.0,0.2716118257471572,0.512086024922989,0.7030933997370926
10,0.0,2024-01-11,signup,4,True,JWLXPVANUM,0.0006482456851146585,0.8323676088775697,0.6483304861554644,0.1406186799474185
13,0.0,2024-01-22,signup,6,True,WNKCTHUHYI,0.0008913378170326553,0.6080652956254047,0.1666202917783024,0.1874915732632247
17,1.0,2024-01-07,signup,8,False,INIQMTGGOO,0.0012154606595899846,0.4959141389993222,0.6747763483215481,0.3281102532106432
19,0.0,2024-01-20,signup,9,True,SJGDAANOYJ,0.0013775220808686494,0.2716118257471572,0.36628791884277456,0.8905849730003174
22,0.0,2024-01-06,signup,3,True,SPWNMQUWDX,0.0016206142127866462,0.4959141389993222,0.07953210234708541,0.04687289331580617
27,1.0,2024-01-30,signup,1,True,IAPSPPLUZL,0.002025767765983308,0.15946066912107465,0.8015695404631513,0.6562205064212865
28,1.0,2024-01-11,signup,8,True,EDWMENKILD,0.0021067984766226402,0.2716118257471572,0.0,0.9843307596319296
29,0.0,2024-01-09,signup,3,False,DNGAQVVEDN,0.0021878291872619725,0.6080652956254047,0.8681807185956889,0.0
30,1.0,2024-01-20,signup,4,False,WSQVNMPZOH,0.0022688598979013048,0.4959141389993222,0.9871628783591309,0.23436446657903082
32,0.0,2024-01-20,signup,9,False,GKIHITQJGU,0.0024309213191799693,0.3837629823732397,0.16636943693619255,0.281237359894837
33,1.0,2024-01-31,signup,4,True,QOVDCTYYGT,0.0025119520298193016,0.4959141389993222,0.9170773433859862,0.5156018264738679
36,0.0,2024-01-28,signup,6,True,KYUCVVIKET,0.0027550441617372984,0.2716118257471572,0.4310933386620297,0.1406186799474185
38,1.0,2024-01-02,signup,2,True,HFELNNHTEW,0.0029171055830159633,0.4959141389993222,0.9922382781755625,0.3749831465264494
40,0.0,2024-01-01,signup,3,False,HOVYUZIDIO,0.003079167004294628,0.4959141389993222,0.41777256438540533,0.1406186799474185
41,0.0,2024-01-09,signup,6,False,BBRMJIJJBF,0.00316019771493396,0.3837629823732397,0.36373736442220483,0.04687289331580617
43,1.0,2024-01-13,signup,4,False,PWSIBFQQXN,0.0033222591362126247,1.0,0.4090292775076092,0.5624747197896741
44,0.0,2024-01-31,signup,8,True,XNVURJEHVZ,0.003403289846851957,0.8323676088775697,0.09927878487948849,0.04687289331580617
49,0.0,2024-01-29,signup,1,False,CPADDAXJVL,0.0038084434000486183,0.8323676088775697,0.4603572205632793,0.42185603984225556
55,1.0,2024-01-16,signup,9,False,ZQFIPOQZHG,0.004294627663884613,0.9445187655036522,0.388960148064061,0.23436446657903082
57,0.0,2024-01-31,signup,9,False,JFLRBCHQYR,0.004456689085163277,0.6080652956254047,0.2574586735983879,0.09374578663161233
58,0.0,2024-01-26,signup,7,True,SOMOYBNEQM,0.0045377197958026095,1.0,0.500859140967024,0.23436446657903082
61,0.0,2024-01-03,signup,6,True,BTDCFQUACC,0.004780811927720606,0.6080652956254047,0.594909759658738,0.6093476131054802
68,0.0,2024-01-02,signup,9,False,HTUIUEAPSS,0.005348026902195932,0.6080652956254047,0.35596224025469514,0.1874915732632247
72,0.0,2024-01-15,signup,5,True,KQAKBGLQBJ,0.005672149744753261,0.3837629823732397,0.7149028585520303,0.04687289331580617
87,1.0,2024-01-26,signup,7,False,XJMJZQDDJC,0.006887610404343246,0.2716118257471572,0.7926915539965163,0.42185603984225556
88,1.0,2024-01-19,signup,5,False,ILBYCVCCZP,0.006968641114982578,0.4959141389993222,0.3035231713990534,0.1874915732632247
93,1.0,2024-01-12,signup,3,True,BNJNDMKIOK,0.00737379466817924,0.7202164522514871,0.8926997795030327,0.3281102532106432
95,0.0,2024-01-07,signup,1,False,JBJDCNSVYQ,0.007535856089457904,0.4959141389993222,0.5153025079519198,0.1874915732632247
97,0.0,2024-01-12,signup,3,False,EVTQSTMJAY,0.00769791751073657,0.15946066912107465,0.571369175499755,0.4687289331580617
