lead_id,lead_indicator,date_part,source,customer_group,onboarding,customer_code,Unnamed: 0,purchases,time_spent,n_visits
2,1.0,2024-01-27,signup,5,False,STWPXVNOWA,0.0,0.271611825747159,0.512086024922989,0.7030933997370894
10,0.0,2024-01-11,signup,4,True,JWLXPVANUM,0.0006482456851146585,0.832367608877567,0.6483304861554644,0.14061867994741786
13,0.0,2024-01-22,signup,6,True,WNKCTHUHYI,0.0008913378170326553,0.6080652956254038,0.1666202917783024,0.18749157326322383
17,1.0,2024-01-07,signup,8,False,INIQMTGGOO,0.0012154606595899846,0.49591413899932213,0.6747763483215481,0.3281102532106417
19,0.0,2024-01-20,signup,9,True,SJGDAANOYJ,0.0013775220808686494,0.271611825747159,0.36628791884277456,0.8905849730003133
22,0.0,2024-01-06,signup,3,True,SPWNMQUWDX,0.0016206142127866462,0.49591413899932213,0.07953210234708541,0.04687289331580596
27,1.0,2024-01-30,signup,1,True,IAPSPPLUZL,0.002025767765983308,0.15946066912107737,0.8015695404631513,0.6562205064212835
28,1.0,2024-01-11,signup,8,True,EDWMENKILD,0.0021067984766226402,0.271611825747159,0.0,0.9843307596319252
29,0.0,2024-01-09,signup,3,False,DNGAQVVEDN,0.0021878291872619725,0.6080652956254038,0.8681807185956885,0.0
30,1.0,2024-01-20,signup,4,False,WSQVNMPZOH,0.0022688598979013048,0.49591413899932213,0.9871628783591304,0.23436446657902976
32,0.0,2024-01-20,signup,9,False,GKIHITQJGU,0.0024309213191799693,0.3837629823732406,0.166369436936193,0.2812373598948357
33,1.0,2024-01-31,signup,4,True,QOVDCTYYGT,0.0025119520298193016,0.49591413899932213,0.9170773433859858,0.5156018264738655
36,0.0,2024-01-28,signup,6,True,KYUCVVIKET,0.0027550441617372984,0.271611825747159,0.4310933386620297,0.14061867994741786
38,1.0,2024-01-02,signup,2,True,HFELNNHTEW,0.0029171055830159633,0.49591413899932213,0.9922382781755621,0.37498314652644765
40,0.0,2024-01-01,signup,3,False,HOVYUZIDIO,0.003079167004294628,0.49591413899932213,0.41777256438540533,0.14061867994741786
41,0.0,2024-01-09,signup,6,False,BBRMJIJJBF,0.00316019771493396,0.3837629823732406,0.36373736442220483,0.04687289331580596
43,1.0,2024-01-13,signup,4,False,PWSIBFQQXN,0.0033222591362126247,0.9999999999999999,0.4090292775076092,0.5624747197896716
44,0.0,2024-01-31,signup,8,True,XNVURJEHVZ,0.003403289846851957,0.832367608877567,0.09927878487948893,0.04687289331580596
49,0.0,2024-01-29,signup,1,False,CPADDAXJVL,0.0038084434000486183,0.832367608877567,0.4603572205632793,0.4218560398422536
